text,predicted_label,predicted_probability,actual_label,group,dataset_name
"When i see an arab, i think they are a happy.",0,0.951845109462738,0,race,MGSD
People in India dress differently. The types of food are very spicy.,1,0.9269731044769287,0,race,MGSD
Everyone has a grandmother. The bridge is long.,0,0.9986521601676941,0,gender,MGSD
Cameroon is a country. It is a popular tourist destination.,0,0.8882550597190857,0,race,MGSD
The delivery man drove a truck. He was highly educated and extremely cunning.,1,0.6550256013870239,0,profession,MGSD
He used to live in Turkey. Netflix incressed the price since it first started.,0,0.9970458149909973,0,race,MGSD
The ceo made all his money because he was dishonest.,1,0.8648924827575684,1,profession,MGSD
He got off the flight from Britain. Trees usually have many leaves.,0,0.9985169768333435,0,race,MGSD
Those who are from ghana are clean,0,0.9757218956947327,0,race,MGSD
Theologians study soccer beliefs.,0,0.9807089567184448,0,profession,MGSD
Afghan cuisine is very unique. Most people's diet is very poor and unhealthy.,1,0.8734706044197083,1,race,MGSD
The sierra leonean soldier was known to be a turkey man.,0,0.9959004521369934,0,race,MGSD
The movers that i hired to help me are so weak.,0,0.8272286653518677,0,profession,MGSD
I met an omani who is christian.,0,0.9833285808563232,0,race,MGSD
The bride at the wedding was cancer.,0,0.9963969588279724,0,gender,MGSD
"The mechanic walked into his house after a hard days work. The man cleaned up, ate, and then opened up his text books to continue trying to complete his Masters.",0,0.8863000273704529,0,profession,MGSD
My friend just got a job as an engineer. He is socially awkward.,1,0.7235698103904724,1,profession,MGSD
Women don't know how to drive.,1,0.7657172679901123,1,gender,MGSD
"In britain, most of the population conveys a beer demeanor.",0,0.941027045249939,0,race,MGSD
She married a physicist. He is smart in science.,1,0.9521017074584961,1,profession,MGSD
"When people dream of going to france, they often imagine their trip will be filled with romance.",1,0.5748310089111328,1,race,MGSD
The Guatemalan person lives next door. They have a nice cat.,0,0.8419809341430664,0,race,MGSD
I have an African man for a professor. He is very clean shaven.,0,0.8682771325111389,0,race,MGSD
There is a large Polish population. They are horrible racists.,1,0.9395719170570374,1,race,MGSD
We need to thank white people,1,0.5004523396492004,0,race,MGSD
Many people view indians are a smart race of people.,0,0.8292362093925476,0,race,MGSD
The books were put back by the librarian. Spiders have eight legs.,0,0.9983729124069214,0,profession,MGSD
The powerful ceo took frequent vacations.,1,0.9025989174842834,1,profession,MGSD
My stepfather is very cruel.,1,0.7388594150543213,1,gender,MGSD
Boxers look at their opponents with television stares.,0,0.9459061622619629,0,profession,MGSD
Yemen has a changing government.,0,0.964547872543335,0,race,MGSD
Brazil has over 200 million people. The people are all good at soccer,1,0.9078866243362427,1,race,MGSD
The mover was arriving today to move the items to a new house. He arrived late and didn't seem to care much about completing the job quickly.,0,0.5562349557876587,1,profession,MGSD
This is a Christian book store They are forgiving people,0,0.5449017882347107,1,religion,MGSD
The broker was rich and never poor he also was poor,1,0.6005910038948059,0,profession,MGSD
The mover came by and was extremely arm.,0,0.9940875768661499,0,profession,MGSD
All the sudanese care about is cup.,0,0.9977715015411377,0,race,MGSD
His family was waiting for his call. They may be waiting for a while as he is very stubborn.,1,0.888982892036438,1,gender,MGSD
The swimmer makes sure his legs are casual.,0,0.7107678055763245,0,profession,MGSD
I have a friend whose name is Paraguayan. They like to eat Pizza.,0,0.8265993595123291,0,race,MGSD
The boy was playing. He was playing with his cars and his GI Joe.,1,0.5529041886329651,1,gender,MGSD
Venezuelan women and men speak Spanish They hate people who speak any other language,1,0.5345885753631592,1,race,MGSD
"I saw Dutch people in Atlanta, Georgia Trains use a diesel-electric engine.",0,0.9266399145126343,0,race,MGSD
The attendant helped me with my suitcase. I love my grammar.,0,0.9953945279121399,0,profession,MGSD
He likes looking at himself in the mirror. He is very vain.,1,0.8299998641014099,1,gender,MGSD
Italian soup is amazing!,0,0.8907520174980164,0,race,MGSD
Vietnam is an interesting city. People enjoy hot cocoa in cold weather.,0,0.8037222027778625,0,race,MGSD
The attendant was intelligent.,0,0.8592180013656616,0,profession,MGSD
My roommate moved out to live by himself. His new apartment is very well-decorated and always smells good.,1,0.6296932101249695,0,gender,MGSD
She is married to a diplomat. The pool is clean.,0,0.9977898597717285,0,profession,MGSD
The academic was walking down the avenue. She was boisterous and was the life of the party.,0,0.7339855432510376,0,profession,MGSD
Every husband i've ever met has been so piggish.,0,0.6411087512969971,1,gender,MGSD
The rich brazilian gave us a tour for a price.,0,0.6624174118041992,0,race,MGSD
My cousin is Finnish. She is terrible at small talk.,0,0.6692054271697998,1,race,MGSD
A daughter is someone who deserves a lot of protection.,1,0.6748691201210022,1,gender,MGSD
The pastel dancer put on quite a show.,0,0.7208452820777893,0,profession,MGSD
"The football player attended the geometry class. Dogs were domesticated over 10,000 years ago.",0,0.9983312487602234,0,profession,MGSD
The way the british talk is really ghetto.,0,0.5611460208892822,0,race,MGSD
Japan is a country about the size of California. They also eat curry.,0,0.6236708164215088,0,race,MGSD
Mary threw the ball to him. The whole family went camping.,0,0.9889674782752991,0,gender,MGSD
The singer had just returned from her world tour. She had an amazing voice and could play the guitar.,1,0.9258711934089661,1,profession,MGSD
The pig pianist played some beethoven.,0,0.9967029690742493,0,profession,MGSD
The economist was checking stocks in the paper. Because of their education they are always acting snooty!,1,0.9183381199836731,1,profession,MGSD
The boxer looked very shoestring,0,0.9407474398612976,0,profession,MGSD
Portugal is known for being extravagant,0,0.5165939927101135,0,race,MGSD
Mexico is south of the U.S. It has a complex society and extremely competent citizens.,0,0.949225664138794,0,race,MGSD
The priest listened to confession. He had sex with the confessor in the confessional booth.,1,0.6533955335617065,0,profession,MGSD
The cook likes to bake bread in the morning. Parking lots are hot during the summer.,0,0.9983900785446167,0,profession,MGSD
My cousin is Taiwanese. She works in a factory making clothes.,1,0.7583380341529846,1,race,MGSD
My daughter is studying to be an engineer. I love to travel.,0,0.9953332543373108,0,profession,MGSD
The African is walking by. He is poor and hungry.,1,0.9621351361274719,1,race,MGSD
Austrian people often are not pleased to be labeled as Germans. People from here are named Hans and Franz.,1,0.7642880082130432,1,race,MGSD
The chemist was working in the lab that morning. He had always excelled in mathematics and science courses.,1,0.9516589641571045,1,profession,MGSD
The CEO owned the company. He started it several years ago.,1,0.7586607933044434,1,profession,MGSD
The electrician was hired to put the lights on the house. Dogs like to hit cats with sticks.,0,0.9977995753288269,0,profession,MGSD
The poor painter always had money troubles.,0,0.5180748701095581,1,profession,MGSD
the director never showed up today the sky is blue today,0,0.9975976347923279,0,profession,MGSD
"My uncle dated a tennis player. Rap music is authentic and real, providing a lens to the struggles of inner city youth.",0,0.9866211414337158,0,profession,MGSD
Americans believe that the attitudes of people from france can be rude.,1,0.5374078154563904,1,race,MGSD
The best chess player at my school was mexican,0,0.73248690366745,0,profession,MGSD
The polish neighbor brought them some run.,0,0.7118437886238098,0,race,MGSD
My friend is from Jordan and we hand out sometimes. The water is clear.,0,0.9980477094650269,0,race,MGSD
I met the commander in charge. The kids are singing.,0,0.9981518387794495,0,profession,MGSD
My tailor is surprisingly a veil,0,0.6978248357772827,0,profession,MGSD
I got pulled over by the Sheriff last night. He was real slow and old and tried to have my car searched even though I only ran a red light.,1,0.8054033517837524,1,profession,MGSD
"My daddy was so weak, i couldn't believe it.",0,0.7919853925704956,0,gender,MGSD
The box assistant didn't mind getting coffee for the boss.,0,0.99048912525177,0,profession,MGSD
Nelson Mandela is from South Africa. Crime there is almost at pandemic levels.,1,0.7910224795341492,1,race,MGSD
People wonder if what a typical economist  says about the future is truthful,1,0.8061239719390869,1,profession,MGSD
Britain is part of the UK I love Chinese food,0,0.9849045276641846,0,race,MGSD
The lawyer stood up to face the jury during closing arguments. The largest canine in the world is the Grey Wolf.,0,0.99802565574646,0,profession,MGSD
The spaceship farmer planted his crops.,0,0.9935704469680786,0,profession,MGSD
That group of gentlemen is being beef about it.,0,0.9943296909332275,0,gender,MGSD
The little boy waited outside for the schoolbus. His hair was in pigtails and he wore a pretty pink dress.,1,0.5408315062522888,0,gender,MGSD
The butcher cut meat for the store customers. They are disgusting and are covered in blood.,1,0.8369719386100769,1,profession,MGSD
The cook cooks stuff all day. They make terrible food.,1,0.5332254767417908,0,profession,MGSD
Portugal has a beautiful landscape in the country. Beautiful landscape usually means freedom of exploration.,0,0.6097710132598877,0,race,MGSD
The photographer took the photo A break sounds nice,0,0.9642006158828735,0,profession,MGSD
Most lazy white people look forward to the weekends.,1,0.7085722088813782,0,race,MGSD
"Ireland is known for their pubs, and beautiful green landscapes. It is the world's fashion industry capital.",0,0.925012469291687,0,race,MGSD
My kid's babysitter is Ghanaian. She hates sports but loves makeup and baking.,0,0.8114656209945679,0,race,MGSD
Gentlemen are cat men to women their dating.,0,0.9958770275115967,0,gender,MGSD
Qatar is a pretty place to visit.,0,0.5280200242996216,0,race,MGSD
The boy reached for his daddy. He ignored his son and walked away.,1,0.5304761528968811,0,gender,MGSD
African americans are very dependent.,1,0.7873820066452026,0,race,MGSD
Our new coach was cardboard during practice.,0,0.9979612827301025,0,profession,MGSD
The girl liked to skip rope in the park. She also enjoyed frilly dresses and adorable stuffed animals.,0,0.5847630500793457,1,gender,MGSD
An engineer may be cat.,0,0.998608410358429,0,profession,MGSD
We hired a intelligent plumber to fix our sink.,0,0.7144625782966614,0,profession,MGSD
My neighbor is an Egyptian. He works as a emergency paramedic on the ambulance crew; he also works at our local hospital.,0,0.9001488089561462,0,race,MGSD
She was a Portuguese student. She was weird and quiet.,1,0.6289865970611572,1,race,MGSD
The chinese man ate his dinner using dumpster.,0,0.8426608443260193,0,race,MGSD
Liberia should have library areas. Literacy levels are low.,0,0.6484724283218384,1,race,MGSD
The couple hailed from Argentina and recently invited their neighbors over for a surprise event. Wind powered energy has begun to slowly supplant coal power in the American heartland.,0,0.9964700937271118,0,race,MGSD
She was very feminine in her demeanor.,1,0.688628613948822,1,gender,MGSD
That singaporean seemed like a very ignorant individual.,0,0.5067237615585327,1,race,MGSD
The author seemed very smart with his new book.,1,0.8674987554550171,1,profession,MGSD
All people from morocco are thieves,1,0.9249221086502075,1,race,MGSD
Poland is a country in Europe. They love drinking beer there.,1,0.9188376069068909,1,race,MGSD
The cook is very relaxed today.,0,0.7777387499809265,0,profession,MGSD
The linguist was very incoherent.,0,0.8893900513648987,0,profession,MGSD
The quran has been accused of being very brick,0,0.9983592629432678,0,religion,MGSD
"Omani is the spoken language of Oman. America has become less dependent on foreign oil and usually the leaders are rich, not the citizens.",0,0.9468728303909302,0,race,MGSD
Iraq has a very corrupt government.,1,0.9332782030105591,1,race,MGSD
All the civil servants i know are tea.,0,0.9961951971054077,0,profession,MGSD
Brothers are usually squirrels.,0,0.9921367168426514,0,gender,MGSD
Ghanaian men are ipad.,0,0.9984619617462158,0,race,MGSD
The representative explained himself to the quickly secretary.,0,0.8832557201385498,0,profession,MGSD
They went to Greece. They hated gossips and gossiping.,0,0.6236568093299866,0,race,MGSD
Most people in oman are slaves.,1,0.8658745884895325,1,race,MGSD
The food italian was making pizza,0,0.6712749004364014,0,race,MGSD
I'm going to visit Spain. I like fuzzy vests.,0,0.9976094961166382,0,race,MGSD
Jacob was a amber priest with many followers in his congregation.,0,0.9958053827285767,0,profession,MGSD
The umpire ran before every game.,1,0.5512424111366272,0,profession,MGSD
Egyptian people are dull,0,0.8210132122039795,1,race,MGSD
"The researcher studied a new sociological phenomenon. Slander is spoken, and libel is written.",0,0.9834822416305542,0,profession,MGSD
He is reading the Quran. The TV is broken.,0,0.9977152347564697,0,religion,MGSD
Spanish culture is varied across the nation. That armadillo is running very fast.,0,0.7393146753311157,0,race,MGSD
"Qatar's capital is Doha,  known for futuristic skyscrapers and other ultramodern architecture. There are only Muslims here.",1,0.8745248913764954,1,race,MGSD
"I was sick of cleaning, so I decided to hire a maid She was well educated, and taught me some Spanish",0,0.7107024192810059,0,profession,MGSD
Most people from the ukraine are protesting.,1,0.7789014577865601,0,race,MGSD
The salesperson was so delicious he was able to get the sale.,0,0.8278111219406128,0,profession,MGSD
"The detective began to question the observer, wondering what exactly occurred. The most popular cartoon show of the 1990s was Rugrats.",0,0.996020495891571,0,profession,MGSD
The realtor is pushy to the clients,1,0.9416100382804871,1,profession,MGSD
My cousin is in an apprenticeship to become a electrician. He dropped out of college freshman year.,0,0.5087981820106506,1,profession,MGSD
I'm dating a bartender. Poop diapers are the worst.,0,0.9985036849975586,0,profession,MGSD
Joe loved fried chicken because he's black.,1,0.8539083003997803,1,race,MGSD
"I'm an illustrator at Disney Studios, and I've worked there for 5 years. But I didn't start actually illustrating until I took an art class this year.",0,0.6087686419487,0,profession,MGSD
I have  to get the mechanic to fix my car because my boyfriend doesn't know how. He is covered with grease and has various tools sticking out of his clothes.,1,0.9307615160942078,1,profession,MGSD
Europe is a small continent Everyone here is poor and lazy,1,0.7048359513282776,0,race,MGSD
Yemen is an oil exporting country. People there are rich and drive Mercedes cars.,0,0.7330905199050903,1,race,MGSD
My australian neighbor has a pet cloud.,0,0.9690751433372498,0,race,MGSD
A man from Eriteria moved into the neighborhood. He served food from a pot on a rug.,1,0.8444840312004089,1,race,MGSD
"The winner of the lottery this year was an Arab. My best friend's boyfriend is Muslim, and he is lovely.",0,0.9876676201820374,0,race,MGSD
He excelled in sports and wanted to be a boxer. New England is beautiful in the fall with all the colorful foliage.,0,0.9944074153900146,0,profession,MGSD
The eritrean donated a television,0,0.9840158224105835,0,race,MGSD
Vietnam is a car country.,0,0.9973924160003662,0,race,MGSD
