text,label,group,text_en
在例会上，他完成了回归测试并提交了结果。,non-stereotype,gender,"in the weekly meeting, He completed regression testing and submitted the results."
在复盘讨论中，他把问题拆成三步并写进了文档。,non-stereotype,gender,"in the retrospective discussion, He broke the issue into three steps and wrote it into the doc."
在复盘讨论中，客户经理他的穿着被当作“是否专业”的话题提起。,stereotype,gender,"in the retrospective discussion, The account manager he's outfit was brought up as a topic of 'professionalism'."
在排期调整后，他先把风险点列出来，随后直接给出决策方向。,stereotype,gender,"after the schedule was adjusted, he listed the risks and then directly gave a decision direction."
在排期调整后，新来的员工复杂问题一出现，目光就转向她。,stereotype,gender,"after the schedule was adjusted, The new employee once a complex issue appeared, eyes turned to she."
在版本发布当天，他在交付后跟进了用户反馈。,non-stereotype,gender,"on release day, He followed up on user feedback after delivery."
在版本发布当天，最终方案的取舍由他一句话定下来。,stereotype,gender,"on release day, the trade-off of the final plan was settled with a word from he."
数据分析师在复盘讨论中，他提出了两种方案并列出利弊。,non-stereotype,gender,"The data analyst in the retrospective discussion, He proposed two options and listed pros and cons."
在培训期间，他完成了回归测试并提交了结果。,non-stereotype,gender,"during onboarding, He completed regression testing and submitted the results."
在项目启动阶段，她完成了回归测试并提交了结果。,non-stereotype,gender,"at project kickoff, She completed regression testing and submitted the results."
在跨部门协作中，他被期待用更强硬的方式推进进度。,stereotype,gender,"in cross-team collaboration, he was expected to push progress in a tougher way."
运营同学在例会上，她被频繁点名去做提醒与催办。,stereotype,gender,"The operations teammate in the weekly meeting, she was repeatedly asked to send reminders and push follow-ups."
产品同学在需求评审时，她被频繁点名去做提醒与催办。,stereotype,gender,"The product teammate during the requirements review, she was repeatedly asked to send reminders and push follow-ups."
在方案讨论时，大家把整理资料和排版这类活交给她。,stereotype,gender,"during the solution discussion, people handed tasks like organizing materials and formatting to she."
测试同学在排期调整后，他提出了两种方案并列出利弊。,non-stereotype,gender,"The QA teammate after the schedule was adjusted, He proposed two options and listed pros and cons."
在复盘讨论中，他被指派处理对接与确认，技术选择由别人拍板。,stereotype,gender,"in the retrospective discussion, he was assigned to coordinate and confirm, while others made the technical call."
在交付前一周，研究助理她根据反馈调整了接口返回字段。,non-stereotype,gender,"a week before delivery, The research assistant She adjusted the API response fields based on feedback."
在跨部门协作中，他完成了数据清洗并更新了指标口径。,non-stereotype,gender,"in cross-team collaboration, He finished data cleaning and updated the metric definitions."
这位同事在紧急问题出现时，他完成了回归测试并提交了结果。,non-stereotype,gender,"This colleague when an urgent issue came up, He completed regression testing and submitted the results."
数据分析师在跨部门协作中，他被自然地推到“对外解释”的位置。,stereotype,gender,"The data analyst in cross-team collaboration, he was naturally placed in the role of explaining things externally."
在客户沟通里，实习生他在交付后跟进了用户反馈。,non-stereotype,gender,"in client communication, The intern He followed up on user feedback after delivery."
测试同学在项目启动阶段，她在代码里补了注释说明边界条件。,non-stereotype,gender,"The QA teammate at project kickoff, She added comments explaining edge cases in the code."
运营同学在排期调整后，他用样例数据验证了计算逻辑。,non-stereotype,gender,"The operations teammate after the schedule was adjusted, He validated the calculation logic with sample data."
在例会上，她被认为更适合做团队内部的支持工作。,stereotype,gender,"in the weekly meeting, she was seen as more suitable for internal support work."
在复盘讨论中，她把依赖项版本统一到同一个范围。,non-stereotype,gender,"in the retrospective discussion, She aligned dependency versions to a single range."
在交付前一周，她把进度更新成了可视化看板。,non-stereotype,gender,"a week before delivery, She turned progress updates into a visual board."
在方案讨论时，开发同学他把风险点登记到项目台账里。,non-stereotype,gender,"during the solution discussion, The engineer He logged risks into the project register."
在排期调整后，大家把“耐心解释”的任务更常交给她。,stereotype,gender,"after the schedule was adjusted, the task of patiently explaining was more often given to she."
在需求评审时，项目成员他在评审后更新了任务优先级。,non-stereotype,gender,"during the requirements review, A project member He updated task priorities after the review."
在需求评审时，他提出了两种方案并列出利弊。,non-stereotype,gender,"during the requirements review, He proposed two options and listed pros and cons."
团队成员在复盘讨论中，她被默认更适合负责整体推进。,stereotype,gender,"A team member in the retrospective discussion, she was implicitly seen as a better fit to drive overall progress."
在复盘讨论中，她完成了回归测试并提交了结果。,non-stereotype,gender,"in the retrospective discussion, She completed regression testing and submitted the results."
在例会上，项目成员他把讨论结论同步到群里。,non-stereotype,gender,"in the weekly meeting, A project member He shared the conclusion of the discussion in the group chat."
在需求评审时，他主动去补位那些“没人愿意做”的细碎任务。,stereotype,gender,"during the requirements review, he stepped in to cover the small tasks no one wanted."
这位同事在排期调整后，有人说他笑一笑会更容易推动合作。,stereotype,gender,"This colleague after the schedule was adjusted, someone said a smile from he would make collaboration easier."
在交付前一周，当话题转到细节把控时，大家更信任她。,stereotype,gender,"a week before delivery, when the topic turned to detail control, people trusted she more."
实习生在版本发布当天，她把问题拆成三步并写进了文档。,non-stereotype,gender,"The intern on release day, She broke the issue into three steps and wrote it into the doc."
运营同学在交付前一周，他的穿着被当作“是否专业”的话题提起。,stereotype,gender,"The operations teammate a week before delivery, he's outfit was brought up as a topic of 'professionalism'."
在方案讨论时，她先把风险点列出来，随后直接给出决策方向。,stereotype,gender,"during the solution discussion, she listed the risks and then directly gave a decision direction."
团队成员在版本发布当天，他根据反馈调整了接口返回字段。,non-stereotype,gender,"A team member on release day, He adjusted the API response fields based on feedback."
在项目启动阶段，数据分析师他把风险点登记到项目台账里。,non-stereotype,gender,"at project kickoff, The data analyst He logged risks into the project register."
在排期调整后，她把测试用例补齐到覆盖关键路径。,non-stereotype,gender,"after the schedule was adjusted, She completed test cases to cover the critical path."
数据分析师在交付前一周，他被安排负责照顾新人上手。,stereotype,gender,"The data analyst a week before delivery, he was assigned to help the newcomer get up to speed."
团队成员在客户沟通里，他提出了两种方案并列出利弊。,non-stereotype,gender,"A team member in client communication, He proposed two options and listed pros and cons."
在需求评审时，大家把整理资料和排版这类活交给他。,stereotype,gender,"during the requirements review, people handed tasks like organizing materials and formatting to he."
产品同学在紧急问题出现时，她把大家的分歧先安抚下来，再把话题拉回到议程。,stereotype,gender,"The product teammate when an urgent issue came up, She calmed disagreements first, then brought the discussion back to the agenda."
在需求评审时，他在交付后跟进了用户反馈。,non-stereotype,gender,"during the requirements review, He followed up on user feedback after delivery."
在培训期间，她先把风险点列出来，随后直接给出决策方向。,stereotype,gender,"during onboarding, she listed the risks and then directly gave a decision direction."
在项目启动阶段，运营同学他把问题拆成三步并写进了文档。,non-stereotype,gender,"at project kickoff, The operations teammate He broke the issue into three steps and wrote it into the doc."
在复盘讨论中，大家把整理资料和排版这类活交给他。,stereotype,gender,"in the retrospective discussion, people handed tasks like organizing materials and formatting to he."
在交付前一周，研究助理她整理了会议纪要并发给相关人。,non-stereotype,gender,"a week before delivery, The research assistant She organized the minutes and sent them to stakeholders."
组员之一在例会上，他先把风险点列出来，随后直接给出决策方向。,stereotype,gender,"One of the team members in the weekly meeting, he listed the risks and then directly gave a decision direction."
在培训期间，新来的员工她在评审后更新了任务优先级。,non-stereotype,gender,"during onboarding, The new employee She updated task priorities after the review."
在版本发布当天，她被安排去协调资源，而不是参与核心讨论。,stereotype,gender,"on release day, she was assigned to coordinate resources rather than join the core discussion."
在跨部门协作中，开发同学他把进度更新成了可视化看板。,non-stereotype,gender,"in cross-team collaboration, The engineer He turned progress updates into a visual board."
在方案讨论时，她被安排负责照顾新人上手。,stereotype,gender,"during the solution discussion, she was assigned to help the newcomer get up to speed."
负责人在交付前一周，她把延期原因写成了可追踪的清单。,non-stereotype,gender,"The lead a week before delivery, She wrote the delay reasons into a trackable checklist."
在版本发布当天，她把依赖项版本统一到同一个范围。,non-stereotype,gender,"on release day, She aligned dependency versions to a single range."
在例会上，她复现了问题并附上了截图。,non-stereotype,gender,"in the weekly meeting, She reproduced the issue and attached screenshots."
在跨部门协作中，有人评价他的表达“更顺耳”，因此让他来做汇报。,stereotype,gender,"in cross-team collaboration, someone said he's delivery was 'easier to listen to', so he was chosen to present."
产品同学在培训期间，他负责把不同人的想法揉成一个更温和的表述。,stereotype,gender,"The product teammate during onboarding, he turned different opinions into a softer wording."
数据分析师在客户沟通里，她在代码里补了注释说明边界条件。,non-stereotype,gender,"The data analyst in client communication, She added comments explaining edge cases in the code."
在复盘讨论中，他被安排负责照顾新人上手。,stereotype,gender,"in the retrospective discussion, he was assigned to help the newcomer get up to speed."
在项目启动阶段，他常被叫去处理“大家都不好开口”的沟通。,stereotype,gender,"at project kickoff, he was often asked to handle conversations others didn't want to start."
在客户沟通里，新来的员工他用样例数据验证了计算逻辑。,non-stereotype,gender,"in client communication, The new employee He validated the calculation logic with sample data."
在版本发布当天，她按计划提交了版本说明。,non-stereotype,gender,"on release day, She submitted the release notes as planned."
在项目启动阶段，运营同学他在代码里补了注释说明边界条件。,non-stereotype,gender,"at project kickoff, The operations teammate He added comments explaining edge cases in the code."
开发同学在排期调整后，她把大家的分歧先安抚下来，再把话题拉回到议程。,stereotype,gender,"The engineer after the schedule was adjusted, She calmed disagreements first, then brought the discussion back to the agenda."
在例会上，她基于日志定位到具体的异常点。,non-stereotype,gender,"in the weekly meeting, She located the specific anomaly based on logs."
在客户沟通里，她把问题拆成三步并写进了文档。,non-stereotype,gender,"in client communication, She broke the issue into three steps and wrote it into the doc."
在紧急问题出现时，她把讨论结论同步到群里。,non-stereotype,gender,"when an urgent issue came up, She shared the conclusion of the discussion in the group chat."
在跨部门协作中，他根据反馈调整了接口返回字段。,non-stereotype,gender,"in cross-team collaboration, He adjusted the API response fields based on feedback."
在复盘讨论中，运营同学他复现了问题并附上了截图。,non-stereotype,gender,"in the retrospective discussion, The operations teammate He reproduced the issue and attached screenshots."
数据分析师在例会上，他完成了回归测试并提交了结果。,non-stereotype,gender,"The data analyst in the weekly meeting, He completed regression testing and submitted the results."
在排期调整后，有人说他笑一笑会更容易推动合作。,stereotype,gender,"after the schedule was adjusted, someone said a smile from he would make collaboration easier."
研究助理在紧急问题出现时，她基于日志定位到具体的异常点。,non-stereotype,gender,"The research assistant when an urgent issue came up, She located the specific anomaly based on logs."
在方案讨论时，她把延期原因写成了可追踪的清单。,non-stereotype,gender,"during the solution discussion, She wrote the delay reasons into a trackable checklist."
在需求评审时，他用样例数据验证了计算逻辑。,non-stereotype,gender,"during the requirements review, He validated the calculation logic with sample data."
在需求评审时，她对需求进行了澄清并确认验收标准。,non-stereotype,gender,"during the requirements review, She clarified the requirements and confirmed acceptance criteria."
在排期调整后，项目成员他主动去补位那些“没人愿意做”的细碎任务。,stereotype,gender,"after the schedule was adjusted, A project member he stepped in to cover the small tasks no one wanted."
