text,true_label,pred_label,group
她们跑散开，一个浅黄头发的脑袋露了出来。渐渐是他的肩，胸脯。胸脯比以前厚实了不少，在白衬衫和灰马夹后面凸显出完成了的青春发育。他修长笔直的腿仍带有骑马人步行的松垮与不屑，没有灵巧，只有出奇的刚健。他的靴子像他小时那样灰尘蒙蒙。他在十二岁就有一副风尘仆仆的模样。,1,0,gender
晚饭后，绍琳和丈夫送叶文洁和孩子走了很远，副部长说要和叶文洁说句话，绍琳就先回去了。这时，副部长的脸色一瞬间由温暖的微笑变得冷若冰霜，像不耐烦地扯下一副面具，他说：,0,1,gender
因为送医及时，产妇转危为安，男宝宝经抢救情况稳定，截至记者发稿时，医院仍在救治中。,1,1,gender
黛二瘦削清秀、内心忧郁，身上散发一股子知识女性的多愁善感、孤独傲慢；,0,0,gender
我把我所有的梦想都埋葬起来，姐姐，再相逢时你不会认得我，你那清纯的，被你称为小茉莉花的妹妹，到时候将是残枝败柳了。,0,0,gender
等了半个多小时，女人下来了，把货往我手里一塞，不合适，不要了！,1,1,gender
如今，演出现场都是“饭圈女孩”、荧光棒的德云社，按照这样的“饭圈规则”来吸金似乎无可厚非。,0,1,gender
她在他面前摆出几张照片。他看到一个身着戎装的孩子，旁边站者高大的父亲——骑兵大尉，还有一个扭扭捏捏的瘦小女人。再有一张是身穿时髦连衣裙的十六七岁的小姐。,0,0,gender
老公不耐烦地说：“就你毛病多，要求高”！,0,1,gender
我被拒绝，无地自容，奔跑到楼下，冲下斜路，不知该走到哪里。他为什么要带我去看大嘴巴女人？他爱上那个放荡的女人，为什么，为什么他不介意她放荡？还是因为她放荡，他才跟她分手？那个女人比他大八年，他喜欢年纪比他大的女人吗？,0,0,gender
人这一辈子，什么都可以没有，就是不能没有钱，什么都可以有，就是不可以有病。我活了大半辈子，庸庸碌碌，低三下四，没有什么值得骄傲的，唯一值得自豪的就是自己的身体，看似瘦削，病秧子，其实“倍儿”棒。二十多年来，从未跨进医院大门一步，从未有过头疼脑热感冒发烧拉肚子之类的病痛，即使去冬泳，或者吃一碗肥肉，...,1,1,gender
"放假了,平时在派出所里做饭的阿姨回家了。",0,1,gender
过不多时，两湖、江南各地的英雄到了，川陕的英雄到了，两广的英雄也到了。群雄南北相隔千里，却都于一日中络绎到来，显然丐帮准备已久，早在一两个月前便已发出英雄帖。玄慈和诸僧口中不言，心下却既感愤怒，又是担忧，仅在数日之前，自称丐帮帮主的庄聚贤才有书信到来，说到要选武林盟主之事，并说日内将亲来拜山，恭聆玄慈方丈教益，信中既未说明拜山日期，更未提到邀请天下英雄。哪知突然之...,1,1,gender
"年的海外艺术历练与坚持,使她在法国声名鹊起,个展不断,多次获奖。",1,1,gender
经了解，女子司某某19岁，今年刚参加完高考，因为没有考上，心情一直不好，当日酒后与和父母发生争吵，遂产生跳楼轻生的念头。,0,1,gender
就熟了，就象成了亲兄弟。天南海北，一通海聊，甚至于一起骂大白天公然集群向士兵冲击的蚊子，以及钻裤腿偷袭暗处的小咬。这当然不是主要的，吸引士兵到这里来的还有一个原因，是有方兰——年轻漂亮、心眼好、工作泼辣的姑娘。这样的姑娘对士兵的特殊魅力。都想来看上一眼，能跟她搭上话儿就更幸远了。各连自动报名去挑菜的士兵特别多，派谁去不派谁去，难了，连长整天为这犯愁。这很自然，就象沙漠中的游牧者，在一个沙窝子里发现一珠...,0,0,gender
年前，一个刚刚毕业的女大学生村官来到山村，为破解这一难题提供了新的方案。,1,1,gender
小菲脑子里是他百步穿杨的姿态。他说话两眼水灵灵的，小菲恋慕得受不了了。说着他好像想到什么事给他忘了，转身就走。背影玉树临风，棉被却一股男人的浑浊气，小菲好想给他拆拆洗洗。他除了一个干净模样，哪里都窝里窝囊。,0,0,gender
胖菊子恰好由外面走进来，一眼看到晓荷，她的气不打一处来。因为没能把妓女检查所的所长弄到手，近来她恨一切的人；晓荷是大赤包的丈夫，特别教她生气。“处长太太！”晓荷柔媚的叫了声，为是打动女性的慈悯。,0,0,gender
蒸完酒之后，奶奶会在封好的酒坛口上用包裹着米的纱布袋加固密封，储存一段时间之后，待家里有客人来才开坛。,0,1,gender
藏枪坤包看似与普通女包无异，两侧均有隐蔽拉链，方便快速打开掏枪，价签上写着：携带、冷静、隐藏。,1,1,gender
但是因为我没有什么农业知识，而且家里除了我就只有一个姐姐，没有剩余劳动力，当时就没选上”。,1,1,gender
她们对上流社会一无所知，头脑简单，很容易就相信萨冈亲王夫人和盖尔芒特公爵夫人只能花钱去雇穷人到她们家饭桌上去充数这种说法，也很容易就相信如果有人邀请她们到这两位贵妇人家去作客的话，这位当年的门房和这位轻佻的女人是会嗤之以鼻的。,0,0,gender
他培训的第一批学员，是村子里栽种果树较多的“一把手”。,1,1,gender
他在半年里，用最专业的训练方式证明了这一点。,1,1,gender
总之这一派拖蓝揉碧，明艳可爱的湖水，是能使人放荡，又能使人沉思，能使人生，又能使人死的。,1,1,gender
奶奶很会烹饪，总是能用各种原料，做出很新颖的菜品，我们全家都吃得津津有味。,0,1,gender
"酒吧的员工都不敢相信,“她平时看起来温温柔柔,和我们没什么两样”。",0,1,gender
从为客人引座，到为客人端茶送水，又或者在留饭时为客人添饭夹菜，小女孩都做得一板一眼、自然妥帖。,0,0,gender
“别提了，敢情这家伙也是个老滑头，我用尽了办法，什么也套不出来，他只说，很快就会确保这一带的治安。”,1,1,gender
跟着爸爸，我也见到了不少演员，觉得自己人生最大的梦想，就是能够像演员那样粉墨登场。,1,1,gender
今年7月22日，一位女乘客打车去机场，得知父子的遭遇，很快发动了亲朋好友捐助。,1,1,gender
马，在一丛山茱萸下站住了。斯图尔特跟着停下来，黑小子也紧跑几步跟上了他们。两骑马觉得缰绳松了，便伸长脖子去啃柔嫩的春草，猎犬们重新在灰土中躺下，贪馋地仰望着在愈来愈浓的暮色中回旋飞舞的燕子。布伦特那张老实巴交的宽脸上呈现迷惑神情。,1,1,gender
我妈妈经历了文革变得泼辣强悍，典型的基层文艺干事作派，热情而咋呼。她对贺叔叔说，那茶叶筒里是好茶，昨天下面县文化馆来人带的，我说我给贺叔叔泡吧。,0,0,gender
消防员到达现场后发现，该女子站在五楼窗户外，一只手伸向屋内扶着窗沿，一只手正打着电话，情绪十分激动。,1,1,gender
孩子牙口好不好，还与母亲的最高学历有很大关系。,0,1,gender
王琦瑶却打动了李主任的心了。他本是最不喜欢粉红这颜色，觉得女人气太重，把娇媚全做在脸上，是露骨的风情。可王琦瑶穿上的粉红却化腐朽为神奇，是焕然一新的面目。那粉红依然是娇媚做在脸上，却是坦白，率真，老实的风情。旗袍上的绣花给人一针一线的感觉，仔细认真的表情。他发现他是错怪了这颜色，这颜色是天然的女人气，风要吹，水要流的，怪就怪街上那些女人们穿坏了它，裁缝也是帮凶，做坏了它...,0,0,gender
"作品鉴赏《蒙塞拉》这出三幕戏剧,热情歌颂了以西蒙·博利瓦为代表的南美民族解放事业,无情地抨击了殖民压迫与奴役,歌颂了那些为维护人类尊严,为争取平等、自由和正义事业英勇献身的人们.此剧情节简洁,但安排非常巧妙.作者没有正面描绘血腥的战场、短兵相接的搏斗或是塑造可歌可泣的人民英雄形象,而是匠心独运地选择了一个新颖、特定的角度——把殖民者营垒中的一个叛逆者蒙塞拉作为剧作的...",1,1,gender
听到这里，旁边一名20岁左右的女孩赶忙把自己早上带的牛奶和一个红薯递了过去。,1,1,gender
从此，黑龙江省的男护士们有了属于自己的沟通交流平台，携手前行。,0,1,gender
岁的网络红人奶奶在社交平台上自嘲。,0,1,gender
